ITEM NAME ,URL,PRICE ,RAITING 
"The Ink Bucket - 2021 Planner | Fresh Botanical Illustrations & Motivational Quotes | Vision Board, Habit Tracker, Thoughtful Prompts, Goal Tracker | 100GSM | Size 22cm x 16cm (Tropical Berry)",https://www.amazon.in/Ink-Bucket-Illustrations-Motivational-Thoughtful/dp/B08NS3W8G4?_encoding=UTF8&psc=1,"₹ 1,899.00",4.7
Pro360 Weight Gainer Chocolate Flavour| More Calorie |Dietary Supplement |Ready To Serve |Weight Gain For Men & Women- 500 Gm,https://www.amazon.in/Chocolate-Flavour-Calorie-Dietary-Supplement/dp/B08LBP75QF?_encoding=UTF8&psc=1,₹ 675.00,4.5
Xech Foldable LCD E-Writer and 12 Digit Calculator DigiFold with Stylus 2 in 1 LCD Writing Tablet E-Note Pad Drawing Handwriting Board Paperless Memo Calculator (Black),https://www.amazon.in/Xech-Foldable-Calculator-Handwriting-Paperless/dp/B08N1B6JYN?_encoding=UTF8&psc=1,₹ 899.00,4.2
Xech 12W Fast Charging Cable Ultimus Supports Type C to Type C Micro USB Type A Multi Pin Connector 2.4A Fast Charge Fabric Braided Extra Strong Power Cables for Smartphones Tablets 1 Meter (Grey),https://www.amazon.in/Xech-Charging-Supports-Connector-Smartphones/dp/B08NDJY7JS?_encoding=UTF8&psc=1,₹ 499.00 - ₹ 799.00,3.9
"STITCHNEST™ Ethnic Circus Digitally Printed 4 Seater Table Cover, 40 x 60 Inches",https://www.amazon.in/STITCHNESTTM-Ethnic-Circus-Digitally-Printed/dp/B08QFGLLXQ?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 499.00,2.9
DailyObjects Desk Trio Bundle Turf Desk Mat|Vegan Tray|Orb Mouse Pad - Limited Edition,https://www.amazon.in/DailyObjects-Desk-Bundle-Vegan-Mouse/dp/B08NXDJ3T8?_encoding=UTF8&psc=1,"₹ 1,599.00 - ₹ 2,499.00",4.7
LEANBEING Herb aveda Kala gond Pure jadibooti (100g),https://www.amazon.in/LEANBEING-Herb-aveda-Kala-jadibooti/dp/B08L9LLFB6?_encoding=UTF8&psc=1,₹ 599.00,3.7
The Man Company Caffeine Face Moisturiser with Coffee Arabica & Shea Butter - 50 gm,https://www.amazon.in/Man-Company-Caffeine-Moisturiser-Arabica/dp/B08M3QK2HJ?_encoding=UTF8&psc=1,₹ 279.00,4.8
OxiClear N99 Activated Carbon Refill Filters,https://www.amazon.in/OxiClear-Activated-Carbon-Refill-Filters/dp/B08NG64S8C?_encoding=UTF8&psc=1,Item Not Available,5.0
CHKOKKO Womens Woolen Multicolored Stylish Stoles,https://www.amazon.in/CHKOKKO-Womens-Woolen-Multicolored-Stylish/dp/B08NYQR6FD?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 899.00,4.7
Lil'Goodness Premium Prebiotic Dark Chocolate | Belgian Dark Chocolate | India's First Prebiotic Chocolate 35 g Pack of 6,https://www.amazon.in/LilGoodness-Premium-Prebiotic-Chocolate-Belgian/dp/B08M9BS9RY?_encoding=UTF8&psc=1&smid=A18O4BGSOPF3TT,₹ 270.00,4.1
Anni Designer Women's Pure Chiffon Printed Saree With Blouse Piece,https://www.amazon.in/Designer-Chiffon-Printed-Cinderella-GREEN/dp/B08R1YS7ML?_encoding=UTF8&psc=1,₹ 399.00 - ₹ 425.00,Item Not famous
Swabhiman33 Organically Grown Khapli Wheat Atta (1kg)| Emmer Long Wheat Flour | Sugar Control | Weight Loss | Low Gluten | Stoneground (1Kg),https://www.amazon.in/Swabhiman33-Organically-Khapli-Control-Stoneground/dp/B08LP4TQGQ?_encoding=UTF8&psc=1,"₹ 299.00 - ₹ 1,149.00",4.3
"Anandi Pads - Certified Organic, Compostable & Biodegradable Sanitary Pads with Disposable Bags (15 XL Pads)",https://www.amazon.in/Anandi-Pads-Compostable-Biodegradable-Disposable/dp/B08M5WJ1JN?_encoding=UTF8&psc=1,₹ 299.00,4.8
HAPPYWAGON - 2021 Devinity Desk Calendar | White Spiral Binding | Indian Goddess Illustrations for Each Month (Devinity Calendar),https://www.amazon.in/HAPPYWAGON-Devinity-Calendar-Binding-Illustrations/dp/B08PC7RYCL?_encoding=UTF8&psc=1,₹ 539.00,4.0
Anni Designer Women's Pure Cotton Saree Without Blouse,https://www.amazon.in/Designer-Womens-Cotton-Without-Blouse/dp/B08QVLSZTC?_encoding=UTF8&psc=1,₹ 479.00 - ₹ 525.00,5.0
"LiL'Goodness Assorted Prebiotic Chocolates, Prebiotic Belgian Milk, Prebiotic Belgian Dark, Prebiotic Belgian Dark Orange Peel, Prebiotic Belgian Dark Ginger | 35g Pack of 8 (2 Each)",https://www.amazon.in/LiLGoodness-Assorted-Prebiotic-Chocolates-Belgian/dp/B08MJM5L3H?_encoding=UTF8&psc=1&smid=A18O4BGSOPF3TT,₹ 360.00,4.0
"Slurrp Farm Chocolate Cake Mix | Eggless, Wheat and Maida Free, 200g",https://www.amazon.in/Slurrp-Farm-Chocolate-Eggless-Wheat/dp/B08NDNJ165?_encoding=UTF8&psc=1,₹ 299.00,3.9
Casa Décor Wood Patio Stand,https://www.amazon.in/Casa-D%C3%A9cor-Wood-Patio-Stand/dp/B08LHCFGGP?_encoding=UTF8&psc=1,₹ 499.00,4.5
"Khadi Essentials Luxurious Black Seed Oil & Red Onion Hair Shampoo 200ml - For Hairfall Control, Hair Growth with Jaborandi Oil, Vitamin E Oil SLS & Parabens Free",https://www.amazon.in/Khadi-Essentials-Luxurious-Black-Shampoo/dp/B08ML2L66L?_encoding=UTF8&psc=1,₹ 595.00 - ₹ 849.00,5.0
"Slurrp Farm Coffee Cake Mix | Eggless, Wheat and Maida Free, 200g",https://www.amazon.in/Slurrp-Farm-Coffee-Eggless-Wheat/dp/B08NDQ8JZ4?_encoding=UTF8&psc=1,₹ 299.00,5.0
"Yogabar Super Muesli, No Added or Hidden Sugar, Breakfast Muesli with Probiotics & Prebiotics, 82% Almonds + Whole Grains + Chia Seeds + Flax Seeds, 400gm Each",https://www.amazon.in/Yogabar-Breakfast-Probiotics-Prebiotics-Almonds/dp/B08PC5CNV9?_encoding=UTF8&psc=1&smid=AA0J98CVDRG52,₹ 468.12,Item Not famous
Almo Caldo Ultra-Warm Thermal Top,https://www.amazon.in/ALMO-Caldo-Ultra-Warm-Thermal-Pack-Dark/dp/B08MW82S3C?_encoding=UTF8&psc=1,₹ 413.00,3.0
"Slurrp Farm Vanilla Cake Mix | Eggless, Wheat and Maida Free, 200g",https://www.amazon.in/Slurrp-Farm-Vanilla-Eggless-Wheat/dp/B08NDMZZVB?_encoding=UTF8&psc=1,₹ 299.00,3.5
"Bold Care Hair Serum for Men - 5% Topical Solution for Controlling Hair Fall, Healthy and Strong Hair - Clinically Tested - 60 ml",https://www.amazon.in/Bold-Care-Hair-Serum-Men/dp/B08NCBQ5FW?_encoding=UTF8&psc=1,₹ 699.00,3.5
Magicleaf Stevia Sugar Free Liquid Drops Zero Calorie Natural Sweetener (30ml Glass Bottle) with 99.9% REB-A Purity - Sugar Free Substitute for Diabetics by Magicleaf,https://www.amazon.in/Magicleaf-Stevia-Calorie-Natural-Sweetener/dp/B08R94XWVZ?_encoding=UTF8&psc=1,₹ 350.00,3.0
ANNI DESIGNER Women's Cotton Kurta with Palazzo Set (PARBEEN SEA Green),https://www.amazon.in/ANNI-DESIGNER-Palazzo-PARBEEN-SEA/dp/B08R9RYJ15?_encoding=UTF8&psc=1,₹ 689.00 - ₹ 699.00,Item Not famous
"STITCHNEST™ Ikat Yellow Teal Digital Printed 4 Seater Table Runner, 13 x 60 Inches",https://www.amazon.in/STITCHNESTTM-Yellow-Digital-Printed-Seater/dp/B08GPRLH9D?_encoding=UTF8&psc=1,₹ 349.00 - ₹ 499.00,4.2
"STITCHNEST Ikat Yellow Grey Digital Printed 4 Seater Table Runner, 13 x 60 Inches",https://www.amazon.in/STITCHNEST-Yellow-Digital-Printed-Seater/dp/B08GPBCJ16?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 499.00,4.0
The Whole Truth - Protein Bar Minis - The Everyone Party - All-in-One - Pack of 8-8 x 27g - No Added Sugar - All Natural,https://www.amazon.in/Whole-Truth-Everyone-All-One/dp/B08P22T7XR?_encoding=UTF8&psc=1,₹ 400.00,5.0
"BRB Popped Chips | Not Baked, Not Fried | Potato & Sweet Potato Chips | 3 Flavours | 8 X Sharing Packs | Healthy Gluten Free Snack",https://www.amazon.in/BRB-Popped-Flavours-Sharing-Healthy/dp/B08LPSHWPF?_encoding=UTF8&psc=1,₹ 320.00,4.1
TEGO - Drill - No Show Socks - (1 Pack),https://www.amazon.in/TEGO-Socks-NoShow-Cotton-Comfort/dp/B08LYHJZL8?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 369.00,3.7
Thinkpot Wall Calendar (Habit Tracker Wall Calendar),https://www.amazon.in/Thinkpot-Wall-Calendar-Habit-Tracker/dp/B08P8M7YF6?_encoding=UTF8&psc=1,₹ 399.00,4.0
Yogabar Dark Chocolate Peanut Butter and Muesli Combo | Dark Chocolate Peanut Butter | Dark Chocolate Muesli,https://www.amazon.in/Yogabar-Chocolate-Peanut-Butter-Muesli/dp/B08MWHZDQK?_encoding=UTF8&psc=1&smid=AA0J98CVDRG52,₹ 392.92,4.3
"Pilgrim Hair Care Kit Sulphate Free Shampoo + Hair Mask For Dry Frizzy Hair, Hair Growth, Hair Fall Control, Men & Women, No Sulphate No Paraben, Korean Beauty Secrets, 200ml + 200gm",https://www.amazon.in/Pilgrim-Sulphate-Shampoo-Control-Paraben/dp/B08LHK8BPL?_encoding=UTF8&psc=1,₹ 892.00,5.0
